2025-07-06 15:51:40 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 126. MDE found: 0.060000000000000005 with p-value: 0.0878
2025-07-06 15:51:51 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 126. MDE found: 0.09999999999999999 with p-value: 0.096
2025-07-06 15:51:51 | INFO     | Murray.main:evaluate_sensitivity:744 | evaluate_sensitivity completed successfully.
2025-07-06 15:51:51 | INFO     | Murray.main:run_geo_analysis_streamlit_app:830 | Sensitivity evaluation completed successfully.
2025-07-06 15:51:51 | INFO     | Murray.main:run_geo_analysis_streamlit_app:840 | run_geo_analysis_streamlit_app completed successfully
2025-07-06 15:52:48 | INFO     | Murray.main:BetterGroups:477 | Processed 34000/170000 groups
2025-07-06 15:56:45 | INFO     | Murray.main:BetterGroups:477 | Processed 51000/170000 groups
2025-07-06 16:00:43 | INFO     | Murray.main:BetterGroups:477 | Processed 68000/170000 groups
2025-07-06 16:04:47 | INFO     | Murray.main:BetterGroups:477 | Processed 85000/170000 groups
2025-07-06 16:08:54 | INFO     | Murray.main:BetterGroups:477 | Processed 102000/170000 groups
2025-07-06 16:12:49 | INFO     | Murray.main:BetterGroups:477 | Processed 119000/170000 groups
2025-07-06 16:16:45 | INFO     | Murray.main:BetterGroups:477 | Processed 136000/170000 groups
2025-07-06 16:20:46 | INFO     | Murray.main:BetterGroups:477 | Processed 153000/170000 groups
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:477 | Processed 170000/170000 groups
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:479 | All groups processed. Results count: 170000
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:482 | Organizing results by size...
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 115: MAPE=1184927748590.0640, SMAPE=193.1776, Holdout=70.47%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 116: MAPE=1677216071305.2822, SMAPE=193.3764, Holdout=70.11%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 117: MAPE=1262308999950.2207, SMAPE=193.2726, Holdout=70.10%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 118: MAPE=2003968099315.3306, SMAPE=193.5130, Holdout=70.32%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 119: MAPE=1487689814316.4583, SMAPE=193.1370, Holdout=70.33%
